name,postal_code,stars,review_count,is_open
Cold Stone Creamery,85032,3.5,37,1
House of Blunt's Smoke Shop,85008,5,5,0
Copper Square Cafe,85004,,3,0
Wang’s Express,85032,3.5,108,0
Safeway,85051,3,22,0
Carl's Jr 7091,85022,2,29,1
Carniceria Mi Casita,85015,3.5,3,1
The Dipping Well,85041,4,4,0
Abby's Grill-Cafe,85022,3,5,0
Taste Of Honduras,85021,4,15,1
AZ Deli Company,85012,3.5,4,1
Stella,85016,3.5,59,0
Dark Hall Coffee,85013,4.5,107,1
Fuego Bistro,85014,4.5,746,1
Logan's Roadhouse,85085,3,196,0
E-san Sab Sab Thai Cuisine,85020,3.5,84,0
Safeway,85048,3.5,17,1
QuikTrip,85029,4,7,1
Athens Pita & Greek Grill,85004,3,25,0
Silver Spoon Cafe,85004,3.5,9,0
Wendy's,85023,2,25,1
Burger Shoppe,85009,4,4,0
D'licious Dishes,85013,4.5,45,0
Custom Food Service,85034,3.5,3,1
Panera Bread,85034,2,55,1
The Play Factory,85050,2.5,116,0
Fiddler's Dream Coffee House,85020,4,8,1
La Mirage,85053,,3,0
La Piñata,85015,4,137,0
Safeway Food & Drug,85020,2.5,12,1
Don Taco Mobile Taco Stand,85032,4.5,7,1
Starbucks,85007,1.5,19,1
Lucky's Burgers & Hotdog Grill,85054,4,99,0
Valero Corner Store 1654,85044,4,3,0
Zax Cafe,85021,4,15,0
Starbucks,85023,4,13,1
Sky Lounge,85004,2.5,35,0
Filiberto's Mexican Food,85031,3.5,5,1
LaBella Pizzeria and Restaurant,85014,4,116,1
Gigi's Cupcakes of Phoenix,85018,3,56,0
Scooptopia,85012,5,47,1
La Canasta Mexican Foods,85003,3.5,198,1
Burger Factory,85013,3.5,132,1
Waffle Taco,85019,4,6,1
L.A. Roots,85048,4.5,5,1
Appetite Xpress,85013,4,6,0
Los Compadres,85021,3,106,0
Subway Restaurants,85042,2.5,7,1
Otro Cafe,85014,4,,1
Uptown Plaza,85012,5,5,1
Papa John's,85040,3,22,1
Mariscos Vuelve a La Vida,85006,3.5,14,0
Tariq Restaurant,85008,4,7,0
Sky Cafe,85040,3.5,3,1
Sharks Market,85032,4,4,1
Rice Paper on 7th,85006,4,180,1
Burger King,85020,1.5,19,1
El Burrito Grande,85009,4.5,7,0
Red Mango,85054,4,14,0
Cold Beers & Cheeseburgers,85014,3.5,355,1
Quiznos,85024,3,20,1
Starbucks,85014,3,55,1
T&J Gyro and Burger,85027,3.5,3,0
Rev Cafe,85040,3.5,,1
Safeway,85027,3.5,8,0
Einstein Bros Bagels,85003,2,48,1
Restaurante Y Pupuseria Los 3 Hermanos,85015,4.5,11,1
Eye Opener Family Restaurant,85021,3,32,0
Taste of India,85022,2,25,0
Asahi Bakery,85016,4.5,96,1
St. Mary's Food Bank,85009,4,30,1
Dunkin',85022,1.5,11,1
Capri Market & Deli,85018,,3,1
Subway Restaurants,85016,2.5,11,1
Sing High Chop Suey House,85003,3,147,0
Taco Bell,85042,2.5,11,1
Press Coffee Food & Wine,85034,4,123,0
Ling and Louie's Kitchen,85016,3,46,0
Streets of New York,85310,,94,1
Freak Brothers Pizza,85004,4,53,1
Olive Garden Italian Restaurant,85035,2.5,131,1
Samurai Sam's,85015,2.5,18,1
Altamimi Restutant,85051,4,4,0
Green Tea Chinese Restaurant,85048,3.5,62,1
Hooters,85023,,,0
Ghost Lounge,85004,3,31,0
Panini Bread and Grill,85008,5,12,0
Soup & Sausage Bistro,85022,5,172,1
Breakroom Bar & Grill,85008,4,87,1
Copper Square Cafe,85004,,3,0
Jesse James Body Wellness,85250,5,11,1
McDonald's,85013,2.5,32,1
My Mom's Thai Kitchen,85003,3.5,54,0
Family Squeezed Lemonade Arizona,85048,3,4,1
Divinos,85053,3,36,1
Jimmy John's,85037,3,49,1
Fuego Taco Shop,85032,4.5,176,1
Sushinola Roll,85019,4,16,1
Dick Clark's Bar and Grill,85073,1.5,14,1
12th Fairway Bar & Grill,85034,1.5,21,1
Tilted Kilt Pub & Eatery,85003,,368,1
Raspados Solaris,85020,5,65,1
Dima's Tacos,85006,4,5,1
New India Bazaar,85006,3.5,178,1
Raspados House,85040,4.5,7,1
Jackalope Flats,85034,1.5,15,1
Squash Blossom,85004,3,63,0
Sochu House,85004,,,0
Dolce Luna Gelato,85048,3.5,3,0
Pei Wei,85018,2.5,199,1
Sara Lee Bakery Store,85016,3,3,0
Pronto Pizza,85022,1,3,1
Skunk Creek Flats,85085,3.5,28,0
Xanadu Coffee,85013,5,4,1
SanTan Brewing Company - Uptown Phoenix,85014,4,129,1
Wong's Chinese Dining,85034,4,122,1
Unlimited Coffee,85020,4,38,0
Outback Steakhouse,85054,3,182,1
Taco Boy's,85004,,36,1
Roma Garden Ristorante,85032,4,223,1
Hibachi-San,85051,4,3,0
Mi Tienda Latina,85006,4.5,10,1
Bodega 420,85004,4.5,10,0
Henry's Liquors,85029,4,7,1
Toasted,85013,4,101,0
High Street Farmers Market,85054,4.5,5,1
Starbucks,85034,3,4,1
Ray's Pizza,85027,3,54,1
QuikTrip,85029,3.5,30,1
Subway Restaurants,85051,2,4,1
Handy Hero Services,85042,4,19,1
Ancient Therapies Studio,85007,5,,0
Taco Mich,85017,3,37,1
Stacy's Off Da Hook Soul Food,85021,3.5,52,1
Thai Basil - Ahwatukee,85048,3.5,154,1
Vaqueros Carne Asada,85041,,71,1
Salsitas,85037,3.5,19,1
Tam's,85040,4,,1
Sugar and Lace Bakery,85053,5,5,1
Sa Bai Dee Thai Cuisine,85051,4,10,0
True Brew Coffee,85022,4.5,96,0
Firehouse Subs,85016,3.5,113,1
Yogi's Grill,85085,4,117,1
Shangri-La Chinese,85029,4,161,1
Dubb Ya Bees BBQ,85014,5,5,1
Mornin' Moonshine,85003,4.5,14,0
Mrs White's Golden Rule Cafe,85034,3.5,447,1
CRUjiente Tacos,85018,4.5,319,1
Circle K,85007,,8,1
The Magic Mushroom Burgers,85013,4,236,0
Lao Ching Hing,85008,3,42,0
Denny's,85043,2,,1
Jimmy John's,85040,2,,1
El Bravo Sky Harbor,85034,2.5,84,0
Valero Corner Store,85073,4,5,0
Cafe Valley,85043,3.5,5,1
Poke Bar,85054,4,50,1
Ray's Pizza,85073,3.5,45,1
Frank Food Truck,85007,4,26,1
Pioneer Restaurant,85086,4,4,0
Rubio's,85050,3,77,1
Albertsons,85050,3.5,49,1
Big Guy's Sports Grill,85032,3.5,48,0
Jersey Mike's Subs,85003,3.5,40,0
Hidden Track Café,85003,4.5,41,1
City Tacos,85022,4.5,106,1
Alice's Cuisine,85027,5,10,1
Old Heidelberg German Bakery,85016,4,102,1
Aioli Gourmet Burgers,85028,4.5,339,1
Flowers Craft Beer & Wine,85004,5,12,0
IHOP,85035,1.5,117,1
El Conquistador,85022,3.5,56,0
Great Wall Buffet Two Corporation,85051,2.5,11,0
Caffe' Italia,85013,3,23,0
Kozy Cactus,85032,3,13,0
Barro's Pizza,85048,3,118,1
L&L Hawaiian BBQ,85027,3,205,1
Dairy Queen Grill & Chill,85024,2.5,31,1
The Pickleback Bar & Grill,85029,3,4,1
Bahama Buck's,85048,4.5,50,1
O'Briens Sports Pub,85051,3.5,63,1
Mariscos Y Barbacoa La Bella,85008,3,9,1
7-Eleven,85018,1,3,1
Center City Catering,85032,5,3,1
JB's Restaurant,85051,3.5,48,0
Port of Subs,85027,3.5,55,1
McDonald's,85310,2.5,52,1
Press Italian Street Food,85008,4,4,0
Murray and Sons Construction,85022,1,,0
GreenMix,85048,3.5,22,0
Domino's Pizza,85044,3,34,1
Cibo,85003,4.5,2164,1
Pizza Hut,85033,,17,1
Squaw Peak Cafe,85016,3.5,,1
Noodle Bar,85003,,459,0
Native New Yorker,85051,4,3,0
Gallagher's,85024,3,84,0
Oregano's Pizza Bistro,85032,3.5,424,1
Panda Express,85022,2.5,48,1
Semiramis Restaurant & Cafe,85032,4,5,0
Golden Valley,85021,4,13,0
Robeks Smoothies,85016,4.5,12,0
Sonoma Casual Dining,85003,,15,0
Walmart Vision & Glasses,85032,3,6,1
Panera Bread,85034,2,55,1
Abacus Inn Chinese Restaurant,85044,3,14,0
Potbelly Sandwich Shop,85004,4,90,1
Salt River Tavern,85012,2.5,3,1
Drip Coffee Lounge,85006,3.5,35,0
Captain Bill's Submarine,85029,4,135,1
Subway Restaurants,85308,3,11,1
Dunkin',85032,2.5,,1
Hungry Howie's Pizza,85024,2,18,0
Rotana,85022,3.5,126,0
Greektown,85020,4.5,375,1
Arriba Mexican Grill,85048,3,288,1
Down South Restaurant,85034,3,10,0
Artbar Bistro,85004,,5,1
Old Town Sarajevo,85051,4.5,335,1
Freshii,85004,3,9,1
Encinas Meat,85033,5,3,1
Red Thai,85020,3.5,374,1
Veranda Bistro,85020,4,18,1
Paint-A-Holics,85028,5,20,1
Upper Crust Pizza Midtown,85016,3.5,78,0
Safeway,85016,3.5,66,1
Red Wok Buffet,85018,3,145,1
Popeyes Louisiana Kitchen,85053,2.5,93,1
Chili Verde's,85013,2.5,3,0
George & Dragon II English Restaurant Pub,85040,2,,0
Miracle Mile Delicatessen,85016,4,144,0
Azool Grill,85086,3.5,,1
Mr Leno,85037,,58,1
Chick-fil-A,85028,3.5,124,1
Pizza Studio,85003,4,195,1
Starbucks,85044,3.5,3,1
Morning Glory Cafe,85042,4,,1
Angelinas Mexican Food,85017,4.5,3,0
Yogurtini,85085,4.5,63,1
The Coffee Bean & Tea Leaf,85034,2.5,47,1
My Fit Foods,85044,4,28,0
QuikTrip,85016,3.5,37,1
Jacked Ice,85283,5,14,1
Red Lobster,85035,2.5,59,1
Tortas El Manantial,85035,3.5,34,1
Church's Chicken,85029,3,27,1
Rita's Italian Ice,85018,4.5,71,1
Chick-fil-A,85054,3.5,109,1
Sushi Nakano,85048,4.5,159,1
Bite Cafe & Bakery,85022,4.5,3,0
Irie Jamaica Restaurant,85040,3.5,8,0
Grate Roots,,5,5,1
Green Chile Grill,85027,4.5,27,1
Taco Bell,85023,3,,1
Peddler's Son Produce,85034,4,4,1
Coneheads,85032,5,34,0
Hopdoddy Burger Bar,85016,4,572,1
Grill 36,85042,2.5,6,1
Streets of New York,85022,3.5,98,1
Bamboo House,85022,3,93,0
Stumpy's Pizza & Subs,85020,4.5,302,1
Fresh Vitamins,85032,2,4,0
Bountiful Baskets Food Co-op,85073,3.5,83,1
Taqueria Don Pancho,85033,4.5,35,1
Level One Market,85004,3,6,1
Crazy Jim's,85003,3.5,97,1
Plaza Bonita,85085,3.5,214,1
Rehab Burger Therapy,85014,4,186,1
Church's Chicken,85029,3.5,22,1
Tipsy Tea Party,85016,4.5,10,1
Famous Ray's Pizza,85085,3,94,1
Pizza Hut,85040,2,46,1
Tony's Italian Delicatessen,85020,4.5,149,1
Corner Bakery Cafe,85016,3.5,76,0
Del Taco,85048,3,44,1
Subway,85003,2,6,0
Tammie Coe To Go,85034,3.5,29,1
Momenti,85028,3.5,18,0
Paradise Melts,85018,4,30,1
Il Primo Pizza & Wings,85017,3,3,0
Dippin' Dots Ice Cream,85085,4,3,0
Mi Amigo's Mexican Grill,85004,3,,1
LaMar's Donuts & Coffee,85023,4.5,260,1
Kozy Cactus,85032,3,13,0
Hal O Penos,85051,,17,0
The Loaded Cupcake,,5,4,0
Chili's Too,85073,2.5,29,0
Let's Do Lunch,85029,4,22,1
Long Wong's North Phoenix,85032,3,5,0
Pinky's Cafe,85022,3.5,8,0
Bosa Donuts,85051,3.5,68,1
Yoshi's,85022,4,36,1
Fry's Food & Drug Stores & Fry's Marketplace,85023,2.5,,1
Circle K,85029,1,5,1
Maya Mexican Antonjitos Snacks,85051,2,13,0
Qdoba Mexican Grill,85012,3.5,30,0
Celas's Pizza,85020,4,29,1
Nami,85006,4.5,768,1
Cafe Eden,85034,,3,1
Dima's Tacos,85006,4,5,1
Ralph's Snack Bar,85043,3.5,26,1
Discount Nutrition Superstore,85022,4,9,1
Taco Mich,85051,2.5,69,1
New China,85042,3,13,1
Fontanas Pizzeria,85032,4,5,0
Ah-So Sushi & Steak,85085,3,305,1
Yogi's Bistro,85001,4,5,0
Subway Restaurants,85051,2.5,8,1
Sonic Drive-In,85040,2,31,1
Krispy Krunchy Chicken,85008,1,9,0
Leo's Ice Cream,85018,3.5,3,1
Wildflower,85034,4.5,136,1
Pete's Fish & Chips,85008,3.5,3,0
Panda Express,85032,3,34,1
IHOP,85021,2.5,116,1
McDonald's,85022,2,43,1
Dairy Queen Grill & Chill,85012,3,44,1
Zesty Zzeeks Pizza and Wings,85044,4,364,1
Starbucks,85003,3,65,1
IHOP,85016,,56,1
Gyro House 32,85032,4.5,72,1
Food City,85051,3,8,1
Baskin-Robbins,85014,3.5,,0
Smart & Final Extra!,85009,3.5,12,1
Little Caesars,85032,3,10,0
Franks A Lot,85034,4,,0
"Ohya Sushi, Korean Grill & Bar",85054,,300,0
Krachai Thai Kitchen,85053,4.5,255,1
Starbucks,85022,2.5,46,1
Texas BBQ House,85040,,394,1
Marisa's Mexican Seafood Cocina,85019,,79,1
Taco Bell,85044,2,22,1
Meritage - An Urban Tavern,85054,3.5,137,1
Walmart Supercenter,85041,1.5,68,1
Captain Bill's Submarine,85029,4,135,1
Mediterranean Pita,85033,4,6,0
La Cocina Economica,85006,4,69,1
Marston's Cafe,85004,4,21,1
QuikTrip,85017,3.5,13,1
The Duce,85004,3.5,824,1
McDonald's,85020,,40,1
Cold Stone Creamery,85073,2,3,0
Jetbox Market,85034,2,3,1
Silver Dragon Chinese Restaurant,85021,4,87,0
Desert Donuts,85086,4.5,276,1
McDonald's,85037,1.5,36,1
Centrico,85004,4.5,,1
Restaurant Atoyac Estilo Oaxaca,85021,4.5,112,1
W XYZ Bar,85034,3.5,3,1
Lola Coffee,85003,4,470,1
Dilla Libre Uno,85020,4.5,194,1
Circle K,85022,2,6,1
Papa John's Pizza,85022,2,8,1
The Living Room Wine Cafe & Lounge,85006,4,37,0
Thai Thai Kitchen,85029,4.5,130,1
Tryst Cafe - Phoenix,85050,4,671,1
Bragg's Factory Diner,85007,4.5,208,0
El Quiche,85022,,3,0
Tea Light Cafe,85054,4,376,1
99 Ranch Market,85008,4,18,0
Famous Ray's Pizza,85085,3,94,1
Little Caeser's,85016,,7,1
Pomelo,85020,4,335,1
Ramiros Mexican Food,85032,3,26,1
Ewn's 2,85040,3.5,18,0
Daddy O's Grill,85029,3,126,1
Speedy Street Taco,85034,4,370,1
Sprouts Farmers Market Express,85054,3.5,5,1
Denise is Cooking,85004,5,7,0
Mi Familia Mexican Food,85083,3,174,1
Starbucks,85051,3.5,6,0
Circle K,85022,2,6,1
Mariscos Culiacan,85040,4.5,3,0
The Sweet Pea Bakery and Catering,85003,4.5,15,0
Two Hippies Beach House,85020,3.5,14,0
Mariscos Ensenada,85006,4,75,1
Two Hippies Dropped Out of College and Opened a Pizzeria,85013,3,39,0
JL Smokehouse,85040,5,146,1
Siderno Italian Bakery,85043,4.5,3,1
Seed Cafe,85018,4.5,60,0
Subway Restaurants,85048,2,16,1
Church's Chicken,85007,2,25,1
El Pollo Correteado,85009,4.5,34,1
Niro's Gyros,85044,,233,1
Target,85015,4,118,1
Taco Bell,85013,2,49,1
Crave Sandwich Cafe & Catering,85004,4,44,0
Los Sombreros,85012,4.5,9,1
Toby Keiths I Love This Bar & Grill,85054,2,,0
Tacos La Lomita,85037,3,22,1
Dunkin',85037,2.5,23,1
Nypd Pizza,85034,3,8,0
South Mountain Cafe,85040,4.5,74,0
Jamba Juice,85032,3,38,1
Rolberto's Taco Shop,85032,3,3,0
Duza's Kitchen,85006,4.5,,0
Chipotle Mexican Grill,85016,3,145,1
Desert Jade,85018,3.5,258,1
Mucho Macho Taco,85013,4,208,0
Joe's Diner,85016,4,148,0
Black Angus Steakhouse,85051,3,172,1
F1 Food And Fuel,85020,5,3,1
Pizza Hut,85015,1.5,32,1
Anzios Italian Restaurant,85029,4,456,1
Chula Seafood,85012,4,132,1
Blue Saguaro Cafe,85020,3.5,9,0
Church's Chicken,85019,2,5,1
1130 The Restaurant,85004,3.5,256,1
Jersey Mike's Subs,85085,4,95,1
Corner Bakery Cafe,85016,3.5,76,0
Coup Des Tartes,85016,4.5,176,0
Good Fellas Grill,85023,4.5,431,1
Bertie's Of Arcadia,85003,5,3,0
El Rey De Los Ostiones,85017,5,8,1
United Steaks of Cheese,85007,3,6,0
Panera Bread,85085,2.5,152,1
Cost Plus World Market,85016,4.5,65,1
Shell,85014,,4,1
Isa's Pizza,85022,4,156,1
El Tacazo,85040,,20,1
Safeway,85013,2.5,105,1
Bamboo China Restaurant,85020,3,40,1
Chestnut Fine Foods & Provisions,85018,3.5,,1
Yogurtini,85022,4,144,1
WtfExp,85034,,218,1
Maximillians Coyote Cafe,85016,,3,0
La Playa Mar y Tierra,85033,1,4,1
Taste of the Biltmore,85008,4.5,7,1
Santanas Mexican Food,85009,3,6,1
Balkan Bakery,85022,5,64,1
Daisy Mountain Coffee Roasters,85086,4,93,0
The Vault Cafe,85016,3.5,3,0
IHOP,85044,3,119,1
Blue Fin,85004,4,234,1
Sweet Land Cake,85018,5,33,1
Vatra,85018,3,26,0
White Cup Coffee,85018,4.5,82,0
The Loaded Potato,85040,4.5,65,0
Oasis Raspados,85015,4.5,3,1
Whipples Fun Center,85022,4,84,0
Fuddruckers,85016,3.5,3,0
The Original Wineburger,85013,3.5,139,0
Sonic Drive-In,85037,2,30,1
Tacos Mexico,85006,4,4,0
Smokehouse Bar & Grill,85032,3.5,46,0
The Cracked Egg,85051,4,325,1
Soleil Bistro,85040,4,4,1
Panaderia Y Tortilleria,85008,3.5,20,1
Mary Coyle Ol Fashion Ice Cream,85013,4,153,0
Harley's Italian Bistro,85013,3.5,173,0
The Keg Steakhouse + Bar - Desert Ridge,85050,4,501,1
Village Liquors,85032,4,5,1
El Super,85015,3,19,1
Waffle House,85040,3,115,1
Abyssinia Restaurant and Cafe,85014,4.5,198,1
Cold Stone Creamery,85016,2.5,46,1
Bashas Supermarket,85016,1.5,3,1
Schlotzsky's,85023,3,57,1
Taco Bell,85014,3,37,1
Doughbird,85018,4,651,1
Sharks Market,85032,4,4,1
Los Dos Molinos,85034,3.5,83,0
Secreto,85048,3,115,0
First Cup Ethiopian Cafe,85015,4.5,4,1
Burger King,85009,1.5,10,1
Del Taco,85021,2,29,1
Park One Cafe,85016,5,9,1
Jimmy & Joe's Pizzeria,85032,3.5,21,0
Philly Affairs,85034,3.5,5,1
Nothing But Noodles,85073,2,6,0
Walgreens,85027,2.5,12,1
7-Eleven,85031,1.5,3,1
Papa John's Pizza,85021,3.5,,0
Hi-Health Supermart - Arcadia,85018,3,4,0
Edible Arrangements,85032,2,9,0
Takamatsu,85051,4,309,1
CreAsian Bar & Grill,85022,4.5,85,0
Brennan's Pub & Grub,85032,3.5,69,1
Kim's Chinese Kitchen,85016,4,87,1
Paradise Bakery & Cafe,85034,1.5,54,1
Panda Express,85017,2.5,5,1
George and Dragon Pub,85012,3.5,526,1
Valley Vietnamese food,85032,4.5,43,0
New Orleans Sno Ball,85014,4.5,,0
"Scramble, a breakfast & lunch joint - Biltmore",85016,4,96,1
Wedge & Bottle,85048,4.5,50,0
Bobaholic Milk Tea Lounge,85017,4.5,18,1
Pita Bistro,85040,4,248,1
Mission Possible Cafe / A Nonprofit Restaurant,85007,4.5,43,1
Desert Springs Brewing Company,85034,2,15,1
Burger King,85073,2,8,1
Joey's of Chicago,85085,3.5,69,0
El Pacifico Restaurante Y Pescaderia,85016,4,47,1
Filiberto's Mexican Food,85007,2.5,7,1
La Carreta De Lily,85015,3,,1
Waffle House,85034,3.5,3,0
Nekter Juice Bar,85012,4,44,1
Fresh Vitamins,85032,2,4,0
Jordan's Mexican Food,85014,3,111,1
Panda Express,85028,2.5,27,1
Carniceria Puerto Del Todro,85032,3.5,4,0
Miss Lulu's Cafe,85006,3,4,1
Filiberto's Mexican Food,85017,2,16,1
Vincent's,85044,3.5,85,0
Aishiteru Asian Bistro,85022,4.5,81,0
Ming's Pagoda,85029,3.5,81,1
Yogurt Mart,85028,2,10,1
Peace Cream,85023,5,112,1
Tediberto's,85004,4,24,0
QuikTrip,85019,2.5,6,1
The Fry Bread House,85013,4,538,1
The Wrigley Mansion,85016,3.5,258,1
Open Sesame Market,85053,3.5,17,1
Zoyo Frozen Yogurt - Downtown Phoenix,85007,4,79,1
Hola Cabrito,85040,,48,1
COFCO Chinese Culture Center,85008,3.5,52,0
King Wong Chinese Food,85040,3,19,1
Pizza Divino,85029,3.5,115,1
Tacos Mi Ranchito Mexican Grill,85042,4.5,9,1
Taco Bell,85053,2.5,33,1
Pick Up Stix,85028,,5,0
Applebee's Neighborhood Grill & Bar,85085,2.5,79,0
Mama's Cold Brew,,5,19,1
New Garden Restaurant,85004,4,77,1
The Vig Uptown,85014,,692,1
Taco Bell,85051,3,,1
Cha Cha's Tea,85007,5,,1
Starbucks,85032,2.5,8,0
Pita Pit,85013,4.5,,0
My Fit Foods,85028,4,,0
Little Miss BBQ,85034,5,,1
Rice To You,85035,3,34,0
Keegan's Grill & Taproom Foothills,85044,3.5,172,1
Pioneer Restaurant,85086,4,4,0
Zipps Sports Grill,85018,3,258,1
Jam Rock Cafe and Grill,85007,3.5,42,0
Popo's Mexican Food,85033,4,373,1
Dunkin',85014,2.5,82,1
ProteinHouse - Arcadia,85016,4,132,1
Pei Wei,85020,,211,1
Tropical Breeze Frozen Drinks,85040,4,5,1
Food City,85037,3,23,1
The Haymaker Restaurant,85032,3.5,250,0
Bertha's Café,85016,4.5,415,1
New York Pizza Dept,85034,3.5,90,1
Subway Restaurants,85043,1,11,1
